,Donor Group PI,Donor Group Focus,Specific Donor Deliverables,Recipient Group (commonly more than one group; add your name),Recipient Expectations,Any other info or concerns,Gaps at the Interface and Proposed Reconciliation Approach,Current Examples of Transfers Accomplished
"Multiscale Modeling of Properties, Performance & Life Prediction",Jaafar El-Awady (JHU),"Physics-based coarse-grained simulations of plasticity and crack nucleation, dislocation interaction modelling",DDD framework for Ti alloy modelling; crack nucleation and interaction with dislocation,Ghosh group,Ghosh group - Evolution forms of dislocation densities contributing to resistances due to GNDs and SSDs based on DD simulations.,Ghosh group - Perhaps the evolution form achieved will be for the dislocation densities evolutions instead of the resistances. DD simulations don't differentiate SSDs from GNDs. The reconciliation approach is still in discussion,Ghosh group - DD simulations don't differentiate SSDs from GNDs. The reconciliation approach is still in discussion.,Discussion with Ghosh on alpha/beta interface modelling and crack modelling. We will need to validate our results with the current CP model on some simple cases.
,Somnath Ghosh (JHU),"Multiscale material property, performance and fatigue life modeling","PUCMs for component-level simulation, sets of RAMPs including manufacturable/feasiblity constraints.",Guest Group,"Guest group - Identification of relevant RAMPs and their corresponding feasible sets, including bounds and allowable variations. Also, an executable/source code that efficiently runs the PUCM analysis for multiple runs during optimization. ","Data transfer between codes needs to be efficient, and we need to write more code to perform the basic design sensitivity analysis required for our use.",Codes are being integrated. Results of PUCM simulation and RAMPs have been transferred to the Guest group for location specific design of elastic stiffness,
,Somnath Ghosh (JHU),"Multiscale material property, performance and fatigue life modeling","PUCMs for component-level simulation, sets of RAMPs",Sobotka (SwRI),SwRI - formation and short crack growth lives at nodal locations; any links with anomaly exceedance curves; link between crack size and service life.,Crack shape equivalence. Mapping service lives from PUCMs to DARWIN. Service life equivalence. Residual stress.,Can extract nodal values from integration points. Need to know mapping. Working on concept document to spur discussions with Ghosh group.,None
,Jamie Guest (JHU),Integrated part and material design to improve Q&C outcomes,Parametrization and design distributions of RAMPs across structure to be targeted through processing; optimized topology if needed for improved Q&C outcome,"Ghosh group, (Processing Enclave in the future)",Ghosh group - Capabilities to improve sensitivity analyses and solver algorithms.,The interface are being sorted out  with SE,Ghosh group - Sorting out best ways of intrusive and non-intrusive code interfacing.,Ghosh group - Parts of interest from the Ghosh group's code have been shared and discussed about the applications of the Millwater's group methods.
,Harry Millwater (UTSA),"Multiscale material property, performance and fatigue life modeling",Software tools for sensitivity analysis,Ghosh group; Guest Group,Ghosh group: Integration of sensitivity analysis tools in the modeling framework;  Guest Group: Compatibility of PUCM sensitivity analysis with design optimization code.,Overall data flow framework / Interfaces / Tech transfer of individual software components to stakeholders,Detailed software interfaces / Overall framework showing data flow / Methods to to move data,Published open source library OTIlib. Received source code and static library for Ti-6Al-4V material model. Provided code compiles and runs. Modification (hypercomplexification) underway.
,James Sobotka (SwRI),Prediction of long crack growth fatigue lives and integration with formation/short crack growth predictions.,Long crack growth lives from deterministic and/or probabilistic damage tolerance assessments combined with formation/short crack growth lives.,Lewandowski group ,"K equations for defects (surface vs 
sub-surface, as affected by defect type/dimensions)","If K equations do not exist for STRI type 
defects/samples, who will calculate the local K's?","Need to determine if valid K equations exist, where to find them, and if not exisitng who can generate them",Discussion with Ghosh on short crack growth and formation lives. Will need to reconvine as the model is formalized.
,Brendan Croom (JHU APL),,,Lewandowski group ,"Fatigue experiments & characterization for coupon and parts 
Lewandowski group needs IN& 718 4PB samples with microstructure stripes to test in fatigue ",Ability to characterize microstructure around single laser tracks,,CWRU has shared WAAM 316L-Si materials with APL/JHU on previous projects
,John Lewandowski,4PB S-N; Long crack FCG; Short crack experiments on FIB-notched samples,"4PB S/N + Fatigue initiation details, FCG curves,
Tested FIB-notched samples ","Ghosh Group
SWRI
Rollett Group for Microstructure around FIB-notched and broken samples",,"CWRU group is providing fracture surface information wrt defects, S/N and da/dN from long cracks. Rollet/Narra group is characterizing microstructure around defects on selected sample",Sample availability for Ti64 and IN718; careful scoping of experiments and analysis needed,
,Sneha Narra,,,Ghosh Group,Characterization and correlations of defects,,,
,Caglar Oskay,,,Ghosh Group,Statistics of microstructure and defect characteristics and process parameters,,,
,Tony Rollett,Responsible for Enclave 1 delivery of everything connected to microstructures,"General entry, look elsewhere for specifics",Ghosh Group,"Crystal plasticity model parameters, EBSD scans and relevant microstructural analysis.",,,
,Mohadeseh Taheri-Mousavi,Aged and as-built phase structure and printability modeling of IN718,Scans of intragranular microstructural features for IN718,Ghosh Group,"Get scans from which we can extract microstructural feature distributions (volume fraction, channel width, and shape exponent) and use these distributions to inform parametrically upscaled crystal plasticity model",,,
,,,,,"Uncertainty quantification of the models, verification and validation of the upscaling approach",,,Examples of previous work from the Ghosh group following the same workflow that will be applied in the IMQCAM were shared and discussed
,,,,Ghosh Group,,,,
,Somnath Ghosh (JHU),,"Micromechanical Model
Image-based micromechanical models of SERVE with crystal plasticity, fatigue crack nucleation and phase field models

Parametrically Upscaled models of Deformation, Fatigue Crack Nucleation and Short Crack Propagation
Data sparsity error, Model form error, SERVE based characterization function error",Karve / Mahadevan (VU),"Exchange Software (executables + source code when needed) for 
Micromechanical Model
Parametrically Upscaled models of Deformation, Fatigue Crack Nucleation and Short Crack Propagation

Inputs and corresponding outputs for models OR surrogate model to enable computationally expensive UQ analyses

Experimental data used / to be used for calibration",,,Ghosh group provided a docker-container with multi-crystal CPFE (SERVE-based) model.
