,Donor Group PI,Build and/or Characterization Responsibilities,"Specific Donor Deliverables (raw data, processed data, file formats)",Recipient Group (commonly more than one group; add your name),Recipient Expectations (what data do you need from this donor group),Location of the data (at least an indication of where in data.imqcam.org or Box to search),Any other info or concern?,Gaps at the Interface and Proposed Reconciliation Approach,Current Examples of Transfers Accomplished
Process Modeling,Li Ma (JHU APL),"Computational Fluid Dynamics (CFD) predictions of melt pool size, shape, thermal history","Melt pool shape, size, thermal history as a function of composition and processing conditions","Li Ma (JHU/APL) - Phase Field Modeling           Mahadevan & Karve, Veanderbilt University",Thermal data from melt pool CFD simulations: cooling rate and thermal gradient,,"Data from M Taheri and Karve
Karve (Vanderbilt): Design of Experiments to enable sensitivity analysis""",N/A. Data flow demonstrated,Batch of 100+ CFD simulations already executed based on initial data.
,Li Ma (JHU APL),"Phase Field (PF) modeling: predictions of dendrite growth, microsegregation, grain size, texture after solidification","Map of solidified microstructure. Statistics about dendrite arm size, microsegregation, grain size, texture","
Ghosh group, Guest Group                                                        Mahadevan & Karve, Vanderbilt University",Ghosh/Guest group - microstructure grain size and orientation distribution,,"Needs demonstration. Framework already demonstrated, but scalability is TBD.",N/A. Already demonstrated.,Have successfully run PF simulations based on CFD inputs
,John Lewandowski (CWRU),"4PB Fatigue: S/N data; FCG data; Fracture Initiation Surface Quantification (defect type, size, location)                                                                                 ",4PB Fatigue/FCG/Defect Details (.xlsx file); Selected broken samples to CMU for CT/PFIB/EBSD,"SwRI 
Ghosh group                                                        Rollett, Narra, Webler","SwRI - test data to inform FCG rate and other modeling inputs
Ghosh group - Fatigue experiments & characterization for coupon and parts                                                             Rollett/Narra/Webler - Selected broken samples for CT/PFIB etc ",,Availabiltiy of Ti-64 and IN178 for testing in low stress ground and/or FIB-notched conditions-can older Joe Pauza IN718 samples be used?,May need to quantifty types of defects.(i.e. contamination vs keyhole/LoF/etc) and their effects on S-N (ongoing work at CWRU),CWRU has exhanged many samples and S/N data and some defect informaiton w/CMU and vice versa on previous Ti64 builds
,Sneha Narra (CMU),"CT Data of Pore Measurement across process conditions; Melt Pool Variability Measurements; Melt Pool Cross Section Images; Bulk and near-pore microstructure of IN718 (grain structure, solidification substructure, precipitates, local hardness)","raw data: tiff stack, segmented data for porosity: tiff stack, processed data for porosity: csv file for porosity; csv file containing width measurements along location for porosity ; tiff files of polished and etched Ti64 cross sections; tiff micrographs, quantified csv data if possible for Ti64 cross sections; ang files for EBSD maps; csv data for microhardness; Secondary electron SEM Tiff micgrographs for precipitates, csv files for quantified precipitate data","Sobotka (SwRI), Ghosh group (JHU), Lewandowski Group (CWRU), Oskay Group (VU), Rollett Group (CMU), Sun Group (CMU), Taheri-Mousavi Group (CMU)","SwRI - defect distributon data (size,shape, location), Ghosh Group - Porosity density distribution and raw EBSD data,  CWRU - raw defect distribution data (standard samples and crack growth samples), Oskay Group - raw defect distribution data, melt track width, cap height, and depth measurements from single tracks, Rollett Group - raw and segmented CT data, Sun Group - raw defect distribution data (3D Systems samples), Taheri-Mousavi Group - precipate fraction and hardness ","data.imqcam.org, kilthub (publicly available data) ",Resolution limits on CT wrt LoF and/or other initiating defects,UQ related to CT comparison to fracture suface information and types of defects (is there more than one population of defects),"CMU has exchanged CT data with Oskay, Rollett, Sun, and Lewandowski groups previously. CWRU has exchanged many samples and S/N data and some defect information w/CMU and vice versa on previous Ti64 builds. "
,Caglar Oskay (Vanderbilt),Estimation of lack-of-fusion (LoF) porosity,"Porosity, pore morphology and associated statistics",Ghosh group,"Ghosh group - Characterization and correlations of defects -- specify file formats, metadata etc, --",,,,
,Tony Rollett (CMU),Microstructures for both Ti64 and 718,"Characteristic textures, for example, to constrain the mcirostructure optimization",Ghosh group; Lewandowski group; Guest group ,"Ghosh/Guest group - Statistics of microstructure and defect characteristics; 
Lewandowski group - PFIB exam of fracture surfaces; FIB-nothched samples for short crack + EBSD of crack path(s) in arrested cracks
",,Ability to create nearly identical FIB-notched samples; EBSD characterization of microstructure near FIB-notches before and/or after fatigue,,CWRU has exhanged many samples and S/N data and some defect informaiton w/CMU and vice versa on previous Ti64 builds
,Tao Sun (Northwestern),Spatter-induced defect model,"Spattering rate and landing zone, defect concentrations and distribution. Cross-section image showing melt pool dimensional variation. Raw imaging data are in tiff format. Analysis results are in csv or text formats.",Rollett and Narra Groups and Oskay team,"Narra group - spatter related defect populations, morphologies, format undecided 
Oskay Group - melt pool depth variation wrt laser-spatter interaction, .csv and images",,,,
,Tao Sun (Northwestern),In situ and ex situ characterization of melt pool and microstructure of single-track samples,Raw x-ray and near infrared images are in tiff formt; EBSD data are in jpg format; analyzed melt pool dimension are in csv or txt format. ,Rollett and Narra Groups,"Rollett group - Flow-3D simulation data as images and .csv
Narra group - X-ray imaging .tiffs, flow-3D images and csv files",,,,
,Tao Sun (Northwestern),High-energy diffraction data and analysis on phase contents in Inconel 718,Raw XRD data are in tiff format; Reduced 1D XRD data are in csv or txt format; analysis results are in csv or txt format,Taheri-Mousavi and Narra Groups,Taheri-Mousavi group-  Phase volume fraction from experiments for validation of CALPHAD simulations. ,,,,
,Mohadeseh Taheri-Mousavi (CMU),"Thermophysical properties for CFD, based on CALPHAD for each composition",CSV with predicted temperature-dependent properties for each composition,"Li Ma (JHU/APL) - CFD simulations
Ghosh group ","Li Ma - Thermophysical properties for CFD, based on CALPHAD for each composition. 
Ghosh group - Crystal plasticity model parameters",,,,
